Date,Day,WOM,Month,Year,Holidays,Promotions,"Actual 
Call Volume  ","Forecast 
Call Volume (using original System",,,,,
7-Sep-14,Sunday,1,Sep,2014,,"Up To 40% Off,FS on $49",187,,,,,,
8-Sep-14,Monday,2,Sep,2014,,"$10 Off,FS on $49 Mobile",424,,,,,,
9-Sep-14,Tuesday,2,Sep,2014,,RD Event,333,,,,,,
10-Sep-14,Wednesday,2,Sep,2014,,"10% Off,FS on $49",391,,,,,,
11-Sep-14,Thursday,2,Sep,2014,,No Email Drop,254,,,,,,
12-Sep-14,Friday,2,Sep,2014,,"Up To 40% Off plus $5 FS on $10, FS on $49",347,,,,,,
13-Sep-14,Saturday,2,Sep,2014,,"Up To 40% Off,FS on $49",321,,,,,,
14-Sep-14,Sunday,2,Sep,2014,,Bonus Week,295,,,,,,
15-Sep-14,Monday,3,Sep,2014,,Bonus Week- FSNM,428,,,,,,
16-Sep-14,Tuesday,3,Sep,2014,,Bonus Week,358,,,,,,
17-Sep-14,Wednesday,3,Sep,2014,,Bonus Week,384,,,,,,
18-Sep-14,Thursday,3,Sep,2014,,"Bonus Week- 50% off plus $5 on $35, FS on $49",383,,,,,,
19-Sep-14,Friday,3,Sep,2014,,Bonus Week,374,,,,,,
20-Sep-14,Saturday,3,Sep,2014,,"Bonus Week- 50% off plus $5 on $25, FS on $49",374,,,,,,
21-Sep-14,Sunday,3,Sep,2014,,"Up To 50% Off,FS on $49",308,,,,,,
22-Sep-14,Monday,4,Sep,2014,,"Up To 50% Off,FS on $49",395,,,,,,
23-Sep-14,Tuesday,4,Sep,2014,,Free Ship No Min,581,,,,,,
24-Sep-14,Wednesday,4,Sep,2014,,No Email Drop,356,,,,,,
25-Sep-14,Thursday,4,Sep,2014,,"Up To 50% Off,FS on $49",369,,,,,,
26-Sep-14,Friday,4,Sep,2014,,"Up To 50% Off,FS on $49",345,,,,,,
27-Sep-14,Saturday,4,Sep,2014,,"Up To 50% Off,FS on $49",317,,,,,,
28-Sep-14,Sunday,4,Sep,2014,,"Up To 50% Off,FS on $49",299,,,,,,
29-Sep-14,Monday,5,Sep,2014,,"20% Off,FS on $49",362,,,,,,
30-Sep-14,Tuesday,5,Sep,2014,,"20% Off on Food, FS on $49",372,,,,,,
1-Oct-14,Wednesday,1,Oct,2014,,No Email Drop,308,,,,,,
2-Oct-14,Thursday,1,Oct,2014,,"$5 Off, FS on $50",333,,,,,,
3-Oct-14,Friday,1,Oct,2014,,"Up To 50% Off,FS on $49",311,,,,,,
4-Oct-14,Saturday,1,Oct,2014,,"$5 Off, FS on $50",342,,,,,,
5-Oct-14,Sunday,1,Oct,2014,,"$5 Off, FS on $50",249,,,,,,
6-Oct-14,Monday,1,Oct,2014,,"20% Off on Food, FS on $49",389,,,,,,
7-Oct-14,Tuesday,1,Oct,2014,,"$5 Off, FS on $50",358,,,,,,
8-Oct-14,Wednesday,2,Oct,2014,,"$5 Off, FS on $50",360,,,,,,
9-Oct-14,Thursday,2,Oct,2014,,"$5 Off, FS on $50",310,,,,,,
10-Oct-14,Friday,2,Oct,2014,,"$5 Off, FS on $50",292,,,,,,
11-Oct-14,Saturday,2,Oct,2014,,"$5 Off, FS on $50",286,,,,,,
12-Oct-14,Sunday,2,Oct,2014,Previous Day of the-Columbus Day,"10% Off,FS on $49",286,,,,,,
13-Oct-14,Monday,2,Oct,2014,Columbus Day,"RD Event, Earn $20",371,,,,,,
14-Oct-14,Tuesday,2,Oct,2014,Next Day of the-Columbus Day,"20% Off on Halloween, FS on $49",241,,,,,,
15-Oct-14,Wednesday,3,Oct,2014,,"10% Off,FS on $49",270,,,,,,
16-Oct-14,Thursday,3,Oct,2014,,"10% Off,FS on $49",231,,,,,,
17-Oct-14,Friday,3,Oct,2014,,"Flash Sale,25% Off,FS on $49",497,,,,,,
18-Oct-14,Saturday,3,Oct,2014,,"10% Off,FS on $49",320,,,,,,
19-Oct-14,Sunday,3,Oct,2014,,"$15 Off,FS on $49",331,,,,,,
20-Oct-14,Monday,3,Oct,2014,,"$15 Off,FS on $49",411,,,,,,
21-Oct-14,Tuesday,3,Oct,2014,,Adverts Only,282,,,,,,
22-Oct-14,Wednesday,4,Oct,2014,,"$15 Off,FS on $49",391,,,,,,
23-Oct-14,Thursday,4,Oct,2014,,"25% Off,FS on $49",406,,,,,,
24-Oct-14,Friday,4,Oct,2014,,"$15 Off,FS on $49",412,,,,,,
25-Oct-14,Saturday,4,Oct,2014,,"Up To 25% Off, FS on $49",522,,,,,,
26-Oct-14,Sunday,4,Oct,2014,,Free Ship No Min,321,,,,,,
